;allert erdme sophie;andreas stand hand;asmus semper the;augen nacht ließ;darnach haus stand;doralice egloff baron;effendi nil asl;gottschalk hottentotten deutschen;leute gekommen stehen;mal onkel britt;malimmes nit herzog;störtebecker augen claus;thekla ward oheim;tschun fremden all;vater mutter wußte
1902_Heyking-Elisabeth-von_Briefe__die_ihn_nicht_erreichten_annotiert;0.0057843106;0.054801739700000004;0.0074351567;0.12350233340000001;6.3494000000000006e-06;0.0094669672;6.3494000000000006e-06;0.0050858757;0.3045239531;0.0153719166;6.3494000000000006e-06;0.0137845646;0.0036890060000000003;0.3482713737;0.10826375440000001
1905_May-Karl_Im_Lande_des_Mahdi_I_annotiert;1.9422000000000002e-06;0.0112083281;4.07858e-05;0.1108228051;2.1364e-05;1.9422000000000002e-06;0.4698350117;0.0005263311;0.35959680320000004;0.0007205492;1.9422000000000002e-06;0.0091884596;0.0030123231;0.0022742943;0.0327471183
1905_May-Karl_Im_Lande_des_Mahdi_II;2.0952000000000003e-06;0.0065390699000000005;2.0952000000000003e-06;0.0902626313;2.3047e-05;2.0952000000000003e-06;0.5289523031;0.0004839876;0.3378086468;0.000819217;2.0952000000000003e-06;0.0079428434;0.0022439423;0.0005468431;0.0243690877
1905_Semper_der_Jungling_-_Otto_Ernst_Schmidt_annotiert;0.0034132888000000003;0.0383150857;0.3880351024;0.1726067697;0.0041821981;0.0087622232;3.3431000000000002e-06;3.3431000000000002e-06;0.1842072712;0.010400334300000001;3.3431000000000002e-06;0.0220342666;0.0108015044;0.0039147514;0.1533171751
1907_Meysenbug-Malwida-Freiin-von_Unerfuellt_annotiert;0.0012739928;0.0731575617;8.437e-06;0.1552499473;0.0002615482;0.2677156718;0.0002615482;8.437e-06;0.2473824088;8.437e-06;0.0025395486;0.0405062223;0.014857625000000001;0.0024551782;0.194313436
1907_Spitteler-Carl_Die_Maedchenfeinde_annotiert;0.2421585346;0.0401672259;0.00023103580000000001;0.2566807855;0.0165135596;0.0140931844;0.011012707;0.0017712745000000002;0.2282963859;0.0093624512;0.0100225535;0.0393971066;0.0234446339;1.10017e-05;0.10683755980000001
1909_Wille-Bruno_Die_Abendburg_annotiert;1.9033000000000002e-05;0.020782254400000002;1.7303e-06;0.2395920027;0.004569639;0.0002439679;0.0043274014;0.001057194;0.1671975707;7.094100000000001e-05;0.009362482600000001;0.0328249228;0.4792687886;0.0006938376;0.0399882342
1910_Die_Aufzeichnungen_des_Malte_La_-_Rainer_Maria_Rilke_annotiert;0.0072047686000000005;0.18856221380000002;0.00046649580000000004;0.2551386529;5.7592e-06;0.0165922769;0.0024246264;0.00046649580000000004;0.27708123360000003;0.0162467245;0.0007544562;0.0157859878;0.003691652;0.0065136637;0.2090649927
1910_Ernst-Paul_Der_schmale_Weg_zum_Glueck_annotiert;0.0014880811;0.0455934158;0.000635041;0.1902311107;0.0012669226;3.1594e-06;0.0010141699;3.1594e-06;0.23348340520000002;0.005500529200000001;0.0016776456000000002;0.015768605;0.0087231253;0.0052793706000000004;0.4893322591
1911_Keyserling-Eduard-von_Wellen_annotiert;0.0018351020000000001;0.026847346900000003;6.530600000000001e-06;0.2480391837;0.0011820408000000001;0.4920881633;6.530600000000001e-06;6.530600000000001e-06;0.1196473469;0.0083657143;0.0015085714000000001;0.0109779592;0.0030106122000000003;0.0004636735;0.08601469390000001
