Phrase,Total Frequency,,,,,,,
,,,,,,,,
"Fenster
",2322,Öffnung / Schließung,19317,,,,,
"Wagen
",1404,Reise,11471,,,,,
"Freiheit
",799,Freiheit,2158,,,,,
"Krieg
",603,Krieg,1749,,,,,
"Besuch
",560,Begegnung,1157,,,,,
"Flucht
",427,Flucht /Zuflucht,652,,,404,Erscheinung,409
"Spaziergang
",151,Natur / Landleben / Jagd,535,,,,,
"Spiegel
",453,Spiegel,491,,,,,
"Einsamkeit
",342,Einsamkeit,424,,,,,
"Ordnung
",236,Ordnung,384,,,,,
"Sarg
",156,Bestattung,264,,,,,
"Abenteuer
",149,Abenteuer,162,,,,,
"Auftritt
",129,Aufführung,161,,,,,
"Leere
",160,Weite / Leere / Suche,267,,,,,
"Dasein
",53,Dasein,90,,,,,
"Kirchgang
",13,Kirche / Spiritualität,79,,,,,
"Unfall
",36,Krankenhaus / Unfall,53,,,,,
"Festgewand
",4,Fest,19,,,,,
"Erdbeben
",11,Naturkatastrophe,13,,,,,
"Schlafzimmertür
",6,Privatraum,11,,,,,
"Herkunft
",11,Herkunft,11,,,,,
"Fahrradunfall
",1,Unfall,,,,,,
"Spiegeln
",8,Spiegel,,,,,,
"Rückspiegel
",4,Spiegel,,,,,,
"Spiegelwand
",3,Spiegel,,,,,,
"Spiegelwände
",2,Spiegel,,,,,,
"Spiegeltische
",2,Spiegel,,,,,,
"Spiegelgarn
",1,Spiegel,,,,,,
"Spiegeltürchen
",1,Spiegel,,,,,,
"Spiegellabyrinth
",1,Spiegel,,,,,,
"Spiegelung
",1,Spiegel,,,,,,
"Spiegelscheiben
",1,Spiegel,,,,,,
"Spiegelrahmen
",1,Spiegel,,,,,,
"Spiegelfenster
",1,Spiegel,,,,,,
"Spiegel offen
",1,Spiegel,,,,,,
"Spiegel-Taffeln
",1,Spiegel,,,,,,
"Spiegelscherbe
",1,Spiegel,,,,,,
"Spiegelbild
",1,Spiegel,,,,,,
"Umwandel-Spiegel
",1,Spiegel,,,,,,
"Spiegelbildes
",1,Spiegel,,,,,,
"Spiegelscheibe
",1,Spiegel,,,,,,
"Fensterspiegel
",1,Spiegel,,,,,,
"Spiegelglas
",1,Spiegel,,,,,,
"Spiegeltür
",1,Spiegel,,,,,,
"Türspiegel
",1,Spiegel,,,,,,
"Spiegel-Kanonen
",1,Spiegel,,,,,,
"Reise
",1212,Reise,,,,,,
"Abschied
",790,Reise,,,,,,
"Schiff
",759,Reise,,,,,,
"Schiffe
",453,Reise,,,,,,
"Ankunft
",434,Reise,,,,,,
"Abreise
",407,Reise,,,,,,
"reisen
",347,Reise,,,,,,
"unterwegs
",340,Reise,,,,,,
"Aufenthalt
",301,Reise,,,,,,
"Boot
",279,Reise,,,,,,
"Fahrt
",276,Reise,,,,,,
"Reisen
",270,Reise,,,,,,
"Zug
",244,Reise,,,,,,
"Auto
",233,Reise,,,,,,
"Entdeckung
",222,Reise,,,,,,
"Pferde
",158,Reise,,,,,,
"Urlaub
",123,Reise,,,,,,
"reiste
",100,Reise,,,,,,
"Fahrzeug
",99,Reise,,,,,,
"Abwesenheit
",98,Reise,,,,,,
"Wagens
",97,Reise,,,,,,
"Schiffen
",96,Reise,,,,,,
"Autos
",92,Reise,,,,,,
"Boote
",89,Reise,,,,,,
"Kahn
",88,Reise,,,,,,
